/* DATA DESCRIPTION:
Citation:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2009): (Supplement 2) EDC gas chronologies for the different scenarios 1 to 4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.711012
Related to:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2007): New constraints on the gas age-ice age difference along the EPICA ice cores, 0-50 kyr. Climate of the Past, 3, 527-540, https://doi.org/10.5194/cp-3-527-2007
	Parrenin, Frédéric; Barnola, Jean-Marc; Beer, Jürg; Blunier, Thomas; Castellano, Emiliano; Chappellaz, Jérôme A; Dreyfus, Gabrielle; Fischer, Hubertus; Fujita, Shuji; Jouzel, Jean; Kawamura, Kenji; Lemieux-Dudon, Bénédicte; Loulergue, Laetitia; Masson-Delmotte, Valerie; Narcisi, Biancamaria; Petit, Jean Robert; Raisbeck, Grant M; Raynaud, Dominique; Ruth, Urs; Schwander, Jakob; Severi, Mirko; Spahni, Renato; Steffensen, Jørgen Peder; Svensson, Anders M; Udisti, Roberto; Waelbroeck, Claire; Wolff, Eric William (2007): The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3, 485-497, https://doi.org/10.5194/cp-3-485-2007
Other version:	Zip archive of supplements [dataset]. https://cp.copernicus.org/articles/3/527/2007/cp-3-527-2007-supplement.zip
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 96.25 m * MAXIMUM DEPTH, ice/snow: 3256.55 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Scenario 4 is defined as the EDC3_gas_a age scale, official gas chronology for EDC that can be used for the moment, waiting on a better one. Ice chronology is EDC3 (Parrenin et al., Climate of the Past, 3, 485-497, 2007).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * COMMENT: based on EDC3 time scale
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 1
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 2
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 3
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 4, EDC3_gas_a age scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	28722 data points
*/
Depth ice/snow [m]	Age model [ka] (based on EDC3 time scale)	Gas age [ka BP] (Scenario 1)	Gas age [ka BP] (Scenario 2)	Gas age [ka BP] (Scenario 3)	Gas age [ka BP] (Scenario 4, EDC3_gas_a age scale)
1840.30	149.682	144.556	144.793	144.793	145.499
1840.85	149.784	144.673	144.913	144.913	145.616
1841.40	149.880	144.783	145.023	145.023	145.722
1841.95	149.976	144.894	145.133	145.133	145.829
1842.50	150.072	145.006	145.243	145.243	145.931
1843.05	150.167	145.117	145.353	145.353	146.032
1843.60	150.263	145.224	145.462	145.462	146.132
1844.15	150.360	145.332	145.572	145.572	146.233
1844.70	150.456	145.437	145.677	145.677	146.330
1845.25	150.557	145.548	145.786	145.786	146.431
1845.80	150.658	145.663	145.894	145.894	146.534
1846.35	150.757	145.772	145.999	145.999	146.636
1846.90	150.857	145.880	146.105	146.105	146.740
1847.45	150.958	145.983	146.208	146.208	146.843
1848.00	151.060	146.086	146.312	146.312	146.948
1848.55	151.163	146.200	146.422	146.422	147.063
1849.10	151.263	146.310	146.529	146.529	147.175
1849.65	151.362	146.410	146.633	146.633	147.284
1850.20	151.467	146.517	146.742	146.742	147.397
1850.75	151.565	146.618	146.845	146.845	147.502
1851.30	151.667	146.723	146.953	146.953	147.610
1851.85	151.770	146.832	147.063	147.063	147.717
1852.40	151.872	146.939	147.173	147.173	147.821
1852.95	151.976	147.047	147.284	147.284	147.923
1853.50	152.081	147.163	147.398	147.398	148.030
1854.05	152.186	147.280	147.514	147.514	148.138
1854.60	152.289	147.395	147.624	147.624	148.243
1855.15	152.389	147.509	147.732	147.732	148.349
1855.70	152.493	147.627	147.844	147.844	148.463
1856.25	152.593	147.735	147.949	147.949	148.570
1856.80	152.689	147.829	148.045	148.045	148.669
1857.35	152.791	147.941	148.155	148.155	148.781
1857.90	152.898	148.065	148.277	148.277	148.904
1858.45	152.991	148.156	148.370	148.370	149.000
1859.00	153.096	148.253	148.472	148.472	149.104
1859.55	153.202	148.352	148.572	148.572	149.205
1860.10	153.310	148.455	148.677	148.677	149.309
1860.65	153.423	148.576	148.793	148.793	149.421
1861.20	153.530	148.688	148.904	148.904	149.526
1861.75	153.636	148.797	149.013	149.013	149.627
1862.30	153.741	148.899	149.115	149.115	149.722
1862.85	153.848	148.998	149.213	149.213	149.815
1863.40	153.960	149.100	149.311	149.311	149.911
1863.95	154.078	149.208	149.414	149.414	150.014
1864.50	154.196	149.324	149.524	149.524	150.125
1865.05	154.305	149.429	149.624	149.624	150.228
1865.60	154.415	149.522	149.716	149.716	150.327
1866.15	154.527	149.614	149.809	149.809	150.427
1866.70	154.641	149.704	149.900	149.900	150.527
1867.25	154.762	149.803	150.000	150.000	150.637
1867.80	154.882	149.903	150.100	150.100	150.747
1868.35	154.998	150.001	150.199	150.199	150.853
1868.90	155.117	150.101	150.302	150.302	150.963
1869.45	155.235	150.204	150.408	150.408	151.073
1870.00	155.349	150.304	150.510	150.510	151.179
1870.55	155.464	150.407	150.613	150.613	151.285
1871.10	155.584	150.515	150.722	150.722	151.397
1871.65	155.697	150.615	150.823	150.823	151.502
1872.20	155.810	150.710	150.920	150.920	151.604
1872.75	155.925	150.800	151.010	151.010	151.702
1873.30	156.044	150.891	151.102	151.102	151.802
1873.85	156.174	150.990	151.201	151.201	151.912
1874.40	156.306	151.104	151.316	151.316	152.033
1874.95	156.436	151.222	151.434	151.434	152.155
1875.50	156.554	151.315	151.529	151.529	152.254
1876.05	156.674	151.410	151.627	151.627	152.354
1876.60	156.799	151.527	151.744	151.744	152.469
1877.15	156.915	151.634	151.851	151.851	152.574
1877.70	157.032	151.737	151.954	151.954	152.677
1878.25	157.149	151.836	152.053	152.053	152.777
1878.80	157.267	151.930	152.147	152.147	152.873
1879.35	157.392	152.043	152.259	152.259	152.991
1879.90	157.513	152.159	152.372	152.372	153.113
1880.45	157.627	152.260	152.474	152.474	153.223
1881.00	157.742	152.360	152.576	152.576	153.333
1881.55	157.856	152.453	152.671	152.671	153.436
1882.10	157.972	152.554	152.774	152.774	153.545
1882.65	158.092	152.686	152.907	152.907	153.681
1883.20	158.193	152.795	153.020	153.020	153.794
1883.75	158.293	152.893	153.126	153.126	153.900
1884.30	158.397	152.994	153.233	153.233	154.006
1884.85	158.497	153.089	153.331	153.331	154.104
1885.40	158.607	153.211	153.452	153.452	154.223
1885.95	158.713	153.334	153.573	153.573	154.342
1886.50	158.813	153.446	153.689	153.689	154.454
1887.05	158.911	153.555	153.803	153.803	154.564
1887.60	159.010	153.676	153.928	153.928	154.682
1888.15	159.105	153.794	154.048	154.048	154.795
1888.70	159.200	153.916	154.168	154.168	154.908
1889.25	159.298	154.032	154.285	154.285	155.018
1889.80	159.387	154.128	154.384	154.384	155.111
1890.35	159.490	154.243	154.502	154.502	155.221
1890.90	159.588	154.353	154.617	154.617	155.326
1891.45	159.692	154.477	154.742	154.742	155.442
1892.00	159.796	154.605	154.869	154.869	155.560
1892.55	159.897	154.722	154.985	154.985	155.674
1893.10	160.002	154.842	155.103	155.103	155.790
1893.65	160.106	154.953	155.213	155.213	155.907
1894.20	160.209	155.065	155.325	155.325	156.026
1894.75	160.323	155.195	155.455	155.455	156.164
1895.30	160.432	155.320	155.581	155.581	156.293
1895.85	160.539	155.442	155.705	155.705	156.418
1896.40	160.644	155.558	155.826	155.826	156.536
1896.95	160.756	155.679	155.955	155.955	156.661
1897.50	160.868	155.803	156.080	156.080	156.780
1898.05	160.981	155.927	156.205	156.205	156.900
1898.60	161.097	156.061	156.331	156.331	157.025
1899.15	161.210	156.191	156.454	156.454	157.148
1899.70	161.330	156.327	156.587	156.587	157.281
1900.25	161.443	156.467	156.721	156.721	157.412
1900.80	161.558	156.619	156.863	156.863	157.547
1901.35	161.663	156.740	156.981	156.981	157.660
1901.90	161.764	156.847	157.089	157.089	157.762
1902.45	161.877	156.985	157.223	157.223	157.884
1903.00	161.974	157.111	157.345	157.345	157.993
1903.55	162.077	157.241	157.466	157.466	158.099
1904.10	162.178	157.367	157.586	157.586	158.203
1904.65	162.278	157.486	157.701	157.701	158.307
1905.20	162.375	157.604	157.814	157.814	158.408
1905.75	162.476	157.726	157.930	157.930	158.515
1906.30	162.570	157.833	158.030	158.030	158.608
1906.85	162.672	157.940	158.131	158.131	158.703
1907.40	162.775	158.046	158.236	158.236	158.801
1907.95	162.877	158.151	158.342	158.342	158.899
1908.50	162.979	158.256	158.446	158.446	158.994
1909.05	163.080	158.361	158.549	158.549	159.088
1909.60	163.182	158.461	158.646	158.646	159.182
1910.15	163.289	158.561	158.744	158.744	159.279
1910.70	163.393	158.645	158.829	158.829	159.369
1911.25	163.506	158.745	158.929	158.929	159.476
1911.80	163.623	158.858	159.039	159.039	159.594
1912.35	163.731	158.947	159.131	159.131	159.694
1912.90	163.835	159.026	159.214	159.214	159.786
1913.45	163.953	159.117	159.310	159.310	159.893
1914.00	164.074	159.211	159.411	159.411	160.003
1914.55	164.198	159.310	159.513	159.513	160.118
1915.10	164.328	159.418	159.623	159.623	160.240
1915.65	164.453	159.533	159.739	159.739	160.366
1916.20	164.572	159.639	159.847	159.847	160.483
1916.75	164.692	159.744	159.956	159.956	160.601
1917.30	164.814	159.854	160.069	160.069	160.724
1917.85	164.934	159.966	160.182	160.182	160.848
1918.40	165.051	160.075	160.291	160.291	160.968
1918.95	165.177	160.193	160.408	160.408	161.098
1919.50	165.297	160.315	160.530	160.530	161.224
1920.05	165.417	160.436	160.652	160.652	161.348
1920.60	165.530	160.539	160.759	160.759	161.449
1921.15	165.646	160.648	160.871	160.871	161.556
1921.70	165.768	160.772	160.994	160.994	161.672
1922.25	165.887	160.891	161.111	161.111	161.783
1922.80	166.003	161.005	161.221	161.221	161.887
1923.35	166.119	161.123	161.332	161.332	161.993
1923.90	166.245	161.254	161.454	161.454	162.109
1924.45	166.358	161.366	161.564	161.564	162.212
1925.00	166.474	161.479	161.675	161.675	162.317
1925.55	166.585	161.574	161.770	161.770	162.409
1926.10	166.706	161.681	161.876	161.876	162.512
1926.65	166.824	161.796	161.986	161.986	162.623
1927.20	166.941	161.907	162.095	162.095	162.733
1927.75	167.050	162.006	162.194	162.194	162.833
1928.30	167.161	162.108	162.296	162.296	162.937
1928.85	167.271	162.211	162.400	162.400	163.043
1929.40	167.380	162.315	162.507	162.507	163.153
1929.95	167.482	162.411	162.607	162.607	163.256
1930.50	167.586	162.506	162.706	162.706	163.361
1931.05	167.700	162.612	162.815	162.815	163.476
1931.60	167.809	162.728	162.933	162.933	163.599
1932.15	167.915	162.841	163.048	163.048	163.719
1932.70	168.015	162.947	163.160	163.160	163.837
1933.25	168.117	163.058	163.277	163.277	163.957
1933.80	168.213	163.166	163.392	163.392	164.075
1934.35	168.309	163.273	163.502	163.502	164.189
1934.90	168.413	163.389	163.620	163.620	164.309
1935.45	168.516	163.505	163.742	163.742	164.427
1936.00	168.616	163.618	163.863	163.863	164.543
1936.55	168.719	163.735	163.985	163.985	164.655
1937.10	168.830	163.863	164.117	164.117	164.778
1937.65	168.937	164.005	164.255	164.255	164.905
1938.20	169.038	164.137	164.383	164.383	165.023
1938.75	169.139	164.265	164.506	164.506	165.138
1939.30	169.239	164.383	164.621	164.621	165.246
1939.85	169.343	164.496	164.734	164.734	165.353
1940.40	169.453	164.622	164.858	164.858	165.474
1940.95	169.565	164.751	164.984	164.984	165.598
1941.50	169.675	164.888	165.117	165.117	165.728
1942.05	169.778	165.017	165.242	165.242	165.849
1942.60	169.881	165.122	165.347	165.347	165.954
1943.15	169.996	165.241	165.466	165.466	166.072
1943.70	170.109	165.357	165.583	165.583	166.186
1944.25	170.226	165.482	165.707	165.707	166.307
1944.80	170.343	165.614	165.834	165.834	166.432
1945.35	170.457	165.739	165.956	165.956	166.552
1945.90	170.569	165.860	166.075	166.075	166.671
1946.45	170.682	165.978	166.188	166.188	166.785
1947.00	170.799	166.099	166.304	166.304	166.903
1947.55	170.916	166.210	166.415	166.415	167.013
1948.10	171.036	166.325	166.530	166.530	167.127
1948.65	171.157	166.445	166.648	166.648	167.243
1949.20	171.275	166.570	166.769	166.769	167.361
1949.75	171.395	166.705	166.898	166.898	167.485
1950.30	171.505	166.832	167.020	167.020	167.601
1950.85	171.610	166.953	167.136	167.136	167.710
1951.40	171.712	167.064	167.246	167.246	167.810
1951.95	171.810	167.170	167.350	167.350	167.904
1952.50	171.912	167.287	167.465	167.465	168.008
1953.05	172.009	167.399	167.575	167.575	168.108
1953.60	172.106	167.500	167.674	167.674	168.201
1954.15	172.208	167.605	167.776	167.776	168.300
1954.70	172.308	167.699	167.869	167.869	168.393
1955.25	172.415	167.795	167.965	167.965	168.491
1955.80	172.520	167.885	168.056	168.056	168.585
1956.35	172.632	167.983	168.156	168.156	168.689
1956.90	172.749	168.089	168.263	168.263	168.801
1957.45	172.861	168.179	168.357	168.357	168.899
1958.00	172.976	168.269	168.452	168.452	168.996
1958.55	173.097	168.380	168.564	168.564	169.112
1959.10	173.210	168.482	168.667	168.667	169.220
1959.65	173.329	168.587	168.773	168.773	169.334
1960.20	173.443	168.687	168.874	168.874	169.442
1960.75	173.565	168.790	168.977	168.977	169.554
1961.30	173.685	168.894	169.083	169.083	169.667
1961.85	173.811	169.004	169.197	169.197	169.787
1962.40	173.933	169.116	169.313	169.313	169.911
1962.95	174.053	169.228	169.428	169.428	170.033
1963.50	174.171	169.339	169.538	169.538	170.153
1964.05	174.291	169.452	169.649	169.649	170.275
1964.60	174.410	169.568	169.768	169.768	170.399
1965.15	174.528	169.684	169.887	169.887	170.522
1965.70	174.643	169.798	170.005	170.005	170.641
1966.25	174.761	169.914	170.123	170.123	170.762
1966.80	174.874	170.025	170.233	170.233	170.877
1967.35	174.991	170.146	170.353	170.353	170.998
1967.90	175.113	170.276	170.481	170.481	171.128
1968.45	175.228	170.389	170.594	170.594	171.236
1969.00	175.343	170.500	170.705	170.705	171.342
1969.55	175.461	170.606	170.813	170.813	171.440
1970.10	175.582	170.714	170.921	170.921	171.538
1970.65	175.712	170.829	171.034	171.034	171.642
1971.20	175.842	170.947	171.147	171.147	171.747
1971.75	175.976	171.074	171.265	171.265	171.860
1972.30	176.103	171.187	171.372	171.372	171.966
1972.85	176.229	171.293	171.474	171.474	172.070
1973.40	176.357	171.402	171.581	171.581	172.184
1973.95	176.487	171.514	171.691	171.691	172.303
1974.50	176.610	171.617	171.795	171.795	172.421
1975.05	176.728	171.717	171.896	171.896	172.535
1975.60	176.848	171.835	172.016	172.016	172.668
1976.15	176.958	171.944	172.129	172.129	172.791
1976.70	177.065	172.054	172.246	172.246	172.914
1977.25	177.165	172.157	172.356	172.356	173.027
1977.80	177.268	172.261	172.467	172.467	173.138
1978.35	177.375	172.372	172.583	172.583	173.252
1978.90	177.478	172.481	172.696	172.696	173.363
1979.45	177.584	172.610	172.828	172.828	173.489
1980.00	177.701	172.753	172.974	172.974	173.628
1980.55	177.801	172.884	173.104	173.104	173.747
1981.10	177.899	173.011	173.229	173.229	173.862
1981.65	177.994	173.126	173.346	173.346	173.967
1982.20	178.095	173.246	173.467	173.467	174.078
1982.75	178.195	173.362	173.585	173.585	174.184
1983.30	178.298	173.485	173.707	173.707	174.295
1983.85	178.404	173.611	173.832	173.832	174.409
1984.40	178.511	173.732	173.951	173.951	174.519
1984.95	178.613	173.845	174.064	174.064	174.624
1985.50	178.722	173.966	174.183	174.183	174.740
1986.05	178.832	174.086	174.302	174.302	174.856
1986.60	178.944	174.196	174.411	174.411	174.966
1987.15	179.060	174.309	174.525	174.525	175.082
1987.70	179.182	174.427	174.643	174.643	175.208
1988.25	179.308	174.545	174.763	174.763	175.338
1988.80	179.432	174.659	174.880	174.880	175.469
1989.35	179.562	174.789	175.010	175.010	175.615
1989.90	179.694	174.928	175.147	175.147	175.769
1990.45	179.819	175.049	175.272	175.272	175.903
1991.00	179.934	175.158	175.386	175.386	176.025
1991.55	180.063	175.307	175.536	175.536	176.173
1992.10	180.191	175.452	175.682	175.682	176.316
1992.65	180.309	175.575	175.802	175.802	176.432
1993.20	180.435	175.705	175.928	175.928	176.554
1993.75	180.566	175.840	176.057	176.057	176.677
1994.30	180.698	175.978	176.188	176.188	176.799
1994.85	180.829	176.117	176.320	176.320	176.918
1995.40	180.956	176.244	176.440	176.440	177.027
1995.95	181.086	176.371	176.560	176.560	177.138
1996.50	181.215	176.485	176.668	176.668	177.245
1997.05	181.351	176.605	176.782	176.782	177.359
1997.60	181.484	176.732	176.900	176.900	177.478
1998.15	181.603	176.835	176.998	176.998	177.577
1998.70	181.729	176.928	177.092	177.092	177.671
1999.25	181.868	177.035	177.201	177.201	177.779
1999.80	182.001	177.138	177.306	177.306	177.883
2000.35	182.133	177.239	177.406	177.406	177.987
2000.90	182.269	177.343	177.509	177.509	178.096
2001.45	182.408	177.455	177.619	177.619	178.215
2002.00	182.534	177.556	177.718	177.718	178.324
2002.55	182.663	177.649	177.814	177.814	178.435
2003.10	182.798	177.749	177.917	177.917	178.553
2003.65	182.929	177.845	178.020	178.020	178.669
2004.20	183.062	177.945	178.127	178.127	178.791
2004.75	183.195	178.048	178.235	178.235	178.916
2005.30	183.332	178.154	178.346	178.346	179.044
2005.85	183.461	178.252	178.449	178.449	179.166
2006.40	183.598	178.360	178.564	178.564	179.297
2006.95	183.740	178.476	178.686	178.686	179.436
2007.50	183.877	178.596	178.813	178.813	179.570
2008.05	184.009	178.711	178.935	178.935	179.698
2008.60	184.143	178.828	179.058	179.058	179.824
2009.15	184.276	178.947	179.182	179.182	179.949
2009.70	184.416	179.080	179.318	179.318	180.083
2010.25	184.554	179.210	179.449	179.449	180.215
2010.80	184.688	179.333	179.570	179.570	180.342
2011.35	184.831	179.473	179.709	179.709	180.484
2011.90	184.968	179.610	179.846	179.846	180.625
2012.45	185.101	179.751	179.985	179.985	180.765
2013.00	185.229	179.888	180.118	180.118	180.901
2013.55	185.353	180.001	180.237	180.237	181.021
2014.10	185.487	180.126	180.366	180.366	181.152
2014.65	185.622	180.259	180.502	180.502	181.287
2015.20	185.755	180.394	180.638	180.638	181.423
2015.75	185.888	180.537	180.778	180.778	181.561
2016.30	186.017	180.673	180.914	180.914	181.696
2016.85	186.145	180.808	181.051	181.051	181.833
2017.40	186.273	180.958	181.200	181.200	181.978
2017.95	186.398	181.111	181.352	181.352	182.126
2018.50	186.512	181.248	181.487	181.487	182.255
2019.05	186.634	181.390	181.629	181.629	182.390
2019.60	186.748	181.520	181.763	181.763	182.513
2020.15	186.867	181.657	181.904	181.904	182.642
2020.70	186.984	181.801	182.046	182.046	182.774
2021.25	187.099	181.950	182.193	182.193	182.910
2021.80	187.214	182.106	182.347	182.347	183.052
2022.35	187.320	182.248	182.486	182.486	183.182
2022.90	187.425	182.385	182.621	182.621	183.310
2023.45	187.532	182.533	182.770	182.770	183.448
2024.00	187.633	182.677	182.914	182.914	183.581
2024.55	187.733	182.836	183.072	183.072	183.722
2025.10	187.826	182.987	183.223	183.223	183.855
2025.65	187.916	183.125	183.363	183.363	183.976
2026.20	188.009	183.259	183.498	183.498	184.095
2026.75	188.102	183.381	183.621	183.621	184.205
2027.30	188.207	183.522	183.761	183.761	184.334
2027.85	188.314	183.672	183.907	183.907	184.469
2028.40	188.422	183.808	184.043	184.043	184.597
2028.95	188.528	183.940	184.175	184.175	184.722
2029.50	188.644	184.090	184.322	184.322	184.858
2030.05	188.757	184.239	184.467	184.467	184.992
2030.60	188.872	184.401	184.623	184.623	185.134
2031.15	188.989	184.561	184.778	184.778	185.276
2031.70	189.095	184.699	184.908	184.908	185.406
2032.25	189.207	184.838	185.041	185.041	185.538
2032.80	189.320	184.970	185.169	185.169	185.669
2033.35	189.439	185.113	185.311	185.311	185.807
2033.90	189.558	185.258	185.456	185.456	185.947
2034.45	189.674	185.396	185.590	185.590	186.074
2035.00	189.791	185.535	185.723	185.723	186.201
2035.55	189.911	185.679	185.859	185.859	186.327
2036.10	190.039	185.828	186.000	186.000	186.460
2036.65	190.155	185.952	186.118	186.118	186.576
2037.20	190.276	186.073	186.233	186.233	186.692
2037.75	190.400	186.184	186.339	186.339	186.805
2038.30	190.536	186.310	186.461	186.461	186.931
2038.85	190.672	186.439	186.587	186.587	187.060
2039.40	190.799	186.560	186.706	186.706	187.176
2039.95	190.936	186.692	186.835	186.835	187.299
2040.50	191.061	186.805	186.944	186.944	187.404
2041.05	191.188	186.919	187.054	187.054	187.509
2041.60	191.317	187.035	187.165	187.165	187.615
2042.15	191.440	187.145	187.271	187.271	187.716
2042.70	191.564	187.253	187.378	187.378	187.817
2043.25	191.682	187.360	187.482	187.482	187.922
2043.80	191.806	187.477	187.596	187.596	188.042
2044.35	191.917	187.583	187.701	187.701	188.157
2044.90	192.026	187.687	187.807	187.807	188.274
2045.45	192.127	187.782	187.908	187.908	188.382
2046.00	192.231	187.879	188.013	188.013	188.492
2046.55	192.332	187.964	188.105	188.105	188.586
2047.10	192.435	188.051	188.199	188.199	188.681
2047.65	192.556	188.161	188.313	188.313	188.794
2048.20	192.672	188.271	188.426	188.426	188.905
2048.75	192.795	188.393	188.550	188.550	189.024
2049.30	192.913	188.514	188.671	188.671	189.144
2049.85	193.029	188.635	188.790	188.790	189.264
2050.40	193.140	188.731	188.887	188.887	189.366
2050.95	193.264	188.833	188.992	188.992	189.477
2051.50	193.396	188.957	189.120	189.120	189.609
2052.05	193.521	189.075	189.242	189.242	189.735
2052.60	193.646	189.195	189.363	189.363	189.860
2053.15	193.770	189.314	189.483	189.483	189.985
2053.70	193.897	189.439	189.609	189.609	190.119
2054.25	194.019	189.562	189.732	189.732	190.253
2054.80	194.149	189.698	189.869	189.869	190.403
2055.35	194.269	189.824	189.997	189.997	190.538
2055.90	194.395	189.958	190.133	190.133	190.677
2056.45	194.515	190.094	190.272	190.272	190.811
2057.00	194.636	190.231	190.412	190.412	190.944
2057.55	194.754	190.364	190.540	190.540	191.068
2058.10	194.870	190.498	190.670	190.670	191.193
2058.65	194.994	190.654	190.819	190.819	191.335
2059.20	195.105	190.793	190.954	190.954	191.459
2059.75	195.213	190.921	191.080	191.080	191.571
2060.30	195.324	191.054	191.209	191.209	191.683
2060.85	195.434	191.187	191.337	191.337	191.792
2061.40	195.545	191.323	191.467	191.467	191.903
2061.95	195.642	191.443	191.583	191.583	192.000
2062.50	195.743	191.552	191.687	191.687	192.096
2063.05	195.853	191.668	191.800	191.800	192.202
2063.60	195.961	191.786	191.916	191.916	192.324
2064.15	196.068	191.901	192.030	192.030	192.444
2064.70	196.168	192.000	192.134	192.134	192.553
2065.25	196.275	192.112	192.252	192.252	192.671
2065.80	196.378	192.228	192.375	192.375	192.788
2066.35	196.483	192.347	192.497	192.497	192.905
2066.90	196.579	192.457	192.609	192.609	193.011
2067.45	196.686	192.588	192.738	192.738	193.141
2068.00	196.792	192.720	192.869	192.869	193.274
2068.55	196.893	192.849	193.000	193.000	193.402
2069.10	196.993	192.979	193.132	193.132	193.528
2069.65	197.092	193.120	193.274	193.274	193.658
2070.20	197.189	193.259	193.411	193.411	193.784
2070.75	197.282	193.392	193.541	193.541	193.902
2071.30	197.377	193.529	193.675	193.675	194.023
2071.85	197.474	193.670	193.812	193.812	194.146
2072.40	197.569	193.810	193.948	193.948	194.268
2072.95	197.656	193.944	194.076	194.076	194.383
2073.50	197.745	194.071	194.200	194.200	194.496
2074.05	197.838	194.202	194.327	194.327	194.612
2074.60	197.929	194.332	194.454	194.454	194.729
2075.15	198.019	194.463	194.580	194.580	194.845
2075.70	198.108	194.591	194.706	194.706	194.955
2076.25	198.193	194.711	194.822	194.822	195.058
2076.80	198.282	194.827	194.933	194.933	195.158
2077.35	198.376	194.951	195.052	195.052	195.269
2077.90	198.465	195.071	195.169	195.169	195.378
2078.45	198.554	195.200	195.295	195.295	195.492
2079.00	198.637	195.326	195.417	195.417	195.602
2079.55	198.715	195.418	195.508	195.508	195.687
2080.10	198.800	195.520	195.609	195.609	195.781
2080.65	198.891	195.636	195.724	195.724	195.889
2081.20	198.979	195.748	195.836	195.836	195.994
2081.75	199.065	195.857	195.942	195.942	196.096
2082.30	199.151	195.967	196.050	196.050	196.199
2082.85	199.238	196.078	196.160	196.160	196.304
2083.40	199.323	196.187	196.267	196.267	196.407
2083.95	199.410	196.298	196.376	196.376	196.512
2084.50	199.497	196.402	196.479	196.479	196.611
2085.05	199.583	196.507	196.583	196.583	196.711
2085.60	199.673	196.626	196.697	196.697	196.820
2086.15	199.762	196.741	196.808	196.808	196.926
2086.70	199.843	196.841	196.906	196.906	197.018
2087.25	199.926	196.939	197.003	197.003	197.111
2087.80	200.010	197.038	197.099	197.099	197.204
2088.35	200.096	197.134	197.194	197.194	197.297
2088.90	200.179	197.224	197.284	197.284	197.384
2089.45	200.268	197.320	197.378	197.378	197.477
2090.00	200.358	197.417	197.473	197.473	197.571
2090.55	200.448	197.513	197.568	197.568	197.666
2091.10	200.537	197.610	197.664	197.664	197.760
2091.65	200.624	197.706	197.758	197.758	197.854
2092.20	200.708	197.797	197.849	197.849	197.943
2092.75	200.795	197.888	197.939	197.939	198.032
2093.30	200.881	197.980	198.030	198.030	198.122
2093.85	200.969	198.074	198.123	198.123	198.215
2094.40	201.056	198.157	198.207	198.207	198.299
2094.95	201.138	198.233	198.284	198.284	198.375
2095.50	201.233	198.335	198.383	198.383	198.473
2096.05	201.324	198.432	198.478	198.478	198.566
2096.60	201.409	198.519	198.565	198.565	198.653
2097.15	201.493	198.602	198.648	198.648	198.738
2097.70	201.577	198.679	198.728	198.728	198.817
2098.25	201.667	198.762	198.812	198.812	198.902
2098.80	201.760	198.849	198.898	198.898	198.990
2099.35	201.854	198.936	198.985	198.985	199.079
2099.90	201.950	199.024	199.073	199.073	199.170
2100.45	202.045	199.105	199.155	199.155	199.255
2101.00	202.147	199.192	199.242	199.242	199.346
2101.55	202.249	199.283	199.333	199.333	199.442
